team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,42,91,11,26,20,24,16,29,20,5,3,9,25
ATLANTA HAWKS,240,34,85,2,18,21,27,18,34,15,5,3,11,23
LOS ANGELES LAKERS,265,34,83,11,25,25,40,16,35,28,12,7,17,31
CHICAGO BULLS,265,38,97,1,6,29,39,22,26,25,11,2,16,34
INDIANA PACERS,240,39,88,9,25,15,21,12,36,26,7,6,16,25
DALLAS MAVERICKS,240,39,94,8,19,25,31,14,32,21,6,2,8,17
CHARLOTTE HORNETS,240,27,68,7,17,15,27,10,33,16,7,5,22,23
DETROIT PISTONS,240,37,80,7,14,23,28,11,31,27,15,3,10,21
DENVER NUGGETS,240,33,80,3,14,17,20,10,28,18,9,4,12,16
HOUSTON ROCKETS,240,37,75,8,14,16,23,5,35,21,5,6,13,16
MILWAUKEE BUCKS,240,32,75,10,28,28,35,8,33,18,10,3,13,23
NEW YORK KNICKS,240,33,81,6,18,25,30,6,28,20,8,7,10,23
NEW JERSEY NETS,240,31,85,5,16,24,29,9,40,23,9,6,12,17
ORLANDO MAGIC,240,34,89,6,26,11,18,12,40,19,8,10,15,21
MIAMI HEAT,240,30,92,4,11,10,14,16,29,14,8,8,17,18
PHOENIX SUNS,240,42,82,6,15,18,23,7,36,25,7,5,9,15
MEMPHIS GRIZZLIES,290,36,81,6,17,19,28,10,33,18,10,12,18,22
UTAH JAZZ,290,38,94,5,13,14,19,19,36,27,9,5,18,20
MINNESOTA TIMBERWOLVES,240,43,88,9,20,13,16,17,30,19,3,4,11,21
WASHINGTON WIZARDS,240,37,87,5,15,21,28,17,26,17,6,3,9,18
